dataset,ESPRESSO,BOCD,Window,BinSeg,FLOSS,ClaSP,fluss1,fluss2,fluss3,fluss4,fluss5
Mallat,0.471,0.6559999999999999,0.486,0.932,0.564,0.996,0.5636806219168883,0.5651370676487341,0.5631955645161291,0.5651370676487341,0.7497555738312754
Meat,0.3289999999999999,0.326,0.506,0.623,0.991,0.996,0.9905271201752931,0.9858289371686618,0.981154461502538,0.9718814312203272,0.9724575123874785
MedicalImages,0.564,0.539,0.451,0.923,0.992,0.993,0.9919696761210204,0.9856209845551632,0.9815284658453616,0.9807308076892622,0.9895298496918091
MelbournePedestrian,0.216,0.149,0.568,0.963,0.3989999999999999,0.987,0.399149359552295,0.39908849026426635,0.39908849026426635,0.3938418186252997,0.39793539128297695
MiddlePhalanxOutlineAgeGroup,0.289,0.3829999999999999,0.439,0.821,0.331,0.818,0.33105019444300776,0.5848783711663678,0.5835538095541752,0.5943551513505898,0.5878228002056953
MiddlePhalanxOutlineCorrect,0.303,0.3339999999999999,0.7140000000000001,0.733,0.617,0.916,0.6167457944966074,0.6167457944966074,0.6153401764628507,0.6163938038959881,0.6163938038959881
MiddlePhalanxTW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MoteStrain,0.4679999999999999,0.495,0.76,0.488,0.923,0.985,0.92318409723316,0.9489226459814695,0.9964349262836807,0.9444015444015444,0.9591666666666667
NonInvasiveFetalECGThorax1,0.2289999999999999,0.301,0.632,0.753,0.335,0.985,0.33501046833953796,0.3353143677341173,0.33568037972565273,0.33655206439638724,0.33653102485584124
NonInvasiveFetalECGThorax2,0.162,0.254,0.5820000000000001,0.7929999999999999,0.414,0.99,0.4143584706506537,0.41336251609557956,0.41324084185385684,0.41326202269956447,0.4131279411359761
OSULeaf,0.385,0.365,0.7609999999999999,0.687,0.7190000000000001,0.995,0.7292698060075473,0.9768109710700803,0.9760224624459366,0.9768109710700803,0.976546707606273
OliveOil,0.493,0.5820000000000001,0.608,0.4629999999999999,0.7290000000000001,0.983,0.7185625122541011,0.731823252574896,0.7160721845893311,0.7344681298646658,0.5264407648203576
Plane,0.292,0.146,0.491,0.96,0.872,0.992,0.8717820940538343,0.8323705457525532,0.8284289092287377,0.7965002181854286,0.8150137679925163
ProximalPhalanxOutlineAgeGroup,0.335,0.376,0.528,0.882,0.68,0.884,0.6797065737919025,0.6639437206322084,0.6643055555555556,0.6672036878216123,0.6949458275703089
ProximalPhalanxOutlineCorrect,0.395,0.292,0.6579999999999999,0.942,0.5489999999999999,0.8420000000000001,0.5485783163238369,0.5474042792641669,0.5468181105958518,0.545257751494293,0.533505447301912
