dataset,flussEnsDil,fluss1,fluss2,fluss3,fluss4,fluss5
ProximalPhalanxOutlineAgeGroup,0.5923897589120133,0.6297842465753424,0.5465569175815089,0.5923897589120133,0.3764125,0.3764125
ProximalPhalanxOutlineCorrect,0.5307604029365259,0.4869117364203521,0.4967306045585967,0.5307604029365259,0.2924595555555556,0.2924595555555556
ProximalPhalanxTW,0.39475,0.4969160373303862,0.39475,0.39475,0.39475,0.39475
ShapeletSim,0.2,0.7525,0.2,0.2,0.2,0.2
ShapesAll,1.0,1.0,1.0,1.0,1.0,1.0
SonyAIBORobotSurface1,0.58,0.58,0.58,0.58,0.58,0.58
SonyAIBORobotSurface2,0.5171467764060357,0.5171467764060357,0.5171467764060357,0.5171467764060357,0.5171467764060357,0.5171467764060357
Strawberry,0.3323228001712,0.3323228001712,0.3323228001712,0.3323228001712,0.3323228001712,0.3323228001712
SwedishLeaf,0.2518382352941176,0.5352617804971186,0.2518382352941176,0.2518382352941176,0.2518382352941176,0.2518382352941176
Symbols,0.2965632856461064,0.2965632856461064,0.2965632856461064,0.2965632856461064,0.2965632856461064,0.2965632856461064
SyntheticControl,0.5023808445007751,0.3688,0.5023808445007751,0.2,0.2,0.2
ToeSegmentation1,0.5,0.5,0.5,0.5,0.5,0.5
ToeSegmentation2,0.5,0.5,0.5,0.5,0.5,0.5
Trace,0.7339098986596061,0.750372222714225,0.7326482745464525,0.6831004963317454,0.6333816345724436,0.7339098986596061
TwoLeadECG,0.5009939551300255,0.5009939551300255,0.5009939551300255,0.5009939551300255,0.5009939551300255,0.5009939551300255
UMD,1.0,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryAll,0.2010583067234972,0.5582246894271727,0.2010583067234972,0.2010583067234972,0.2010583067234972,0.2010583067234972
UWaveGestureLibraryX,0.2010682618732562,0.5491609446349379,0.2010682618732562,0.2010682618732562,0.2010682618732562,0.2010682618732562
UWaveGestureLibraryY,0.2010682618732562,0.2010682618732562,0.2010682618732562,0.2010682618732562,0.2010682618732562,0.2010682618732562
UWaveGestureLibraryZ,0.2010682618732562,0.6016321467081485,0.2010682618732562,0.2010682618732562,0.2010682618732562,0.2010682618732562
WordSynonyms,0.7269237843279972,0.8458244955678147,0.7269237843279972,0.7269237843279972,0.7269237843279972,0.7269237843279972
Yoga,0.5037533133573182,0.5037533133573182,0.5037533133573182,0.5037533133573182,0.5037533133573182,0.5037533133573182
