dataset,flussOracle,fluss1,fluss2,fluss3,fluss4,fluss5
Mallat,0.7094704817410835,0.5636806219168883,0.5647430261427759,0.6911560060051096,0.6773953533026114,0.7094704817410835
Meat,0.1806547619047619,0.1482142857142857,0.1330357142857142,0.1806547619047619,0.1404761904761904,0.1467261904761904
MedicalImages,0.9365400161681487,0.5800646856654396,0.5800646856654396,0.5800646856654396,0.9365400161681487,0.917946645109135
MelbournePedestrian,0.4188468866398587,0.3267350309077694,0.3156841036107722,0.4188468866398587,0.1487889273356401,0.4022702250578485
MiddlePhalanxOutlineAgeGroup,0.2501521196542204,0.2501521196542204,0.2501521196542204,0.2501521196542204,0.2501521196542204,0.2501521196542204
MiddlePhalanxOutlineCorrect,0.5833883576663161,0.584898101259287,0.5435656512665821,0.5452520202166575,0.5762988880014744,0.5833883576663161
MiddlePhalanxTW,1.0,1.0,1.0,1.0,1.0,1.0
MoteStrain,0.9964349262836808,0.5,0.5,0.9964349262836808,0.9444015444015444,0.9591666666666668
NonInvasiveFetalECGThorax1,0.4458132045088567,0.4520254466544857,0.442053490163131,0.4458132045088567,0.428743961352657,0.392109500805153
NonInvasiveFetalECGThorax2,0.3326008364641667,0.4191342763352613,0.3136740625221521,0.3326008364641667,0.3123272134401361,0.2913447224782023
OSULeaf,0.6356275303643725,0.7218727961342563,0.5013495276653172,0.6356275303643725,0.6330634278002699,0.6230769230769231
OliveOil,0.7405914153585619,0.6950479697193716,0.7405914153585619,0.3652408468934911,0.3652408468934911,0.3652408468934911
Plane,0.3588731588731588,0.346031746031746,0.3367724867724868,0.3399470899470899,0.3588731588731588,0.356084656084656
ProximalPhalanxOutlineAgeGroup,0.6767503467406379,0.6297842465753424,0.5465646973151718,0.6767503467406379,0.551759684853894,0.3764125
ProximalPhalanxOutlineCorrect,0.4888217655566519,0.4869117364203521,0.4856841564855739,0.4860601716010205,0.4888217655566519,0.2924595555555556
ProximalPhalanxTW,0.8036552965910811,0.4969160373303862,0.8036552965910811,0.5019986025467489,0.5001054343927983,0.49984083730978
ShapeletSim,0.55265625,0.7525,0.55265625,0.3871875,0.3978125,0.3821875
ShapesAll,1.0,1.0,1.0,1.0,1.0,1.0
SonyAIBORobotSurface1,0.58,0.58,0.58,0.422015748031496,0.4223938053097344,0.4178731343283582
SonyAIBORobotSurface2,0.9751884580509816,0.5171467764060357,0.9751884580509816,0.5171467764060357,0.9662912373192748,0.5171467764060357
Strawberry,0.3323228001712,0.3323228001712,0.3323228001712,0.3323228001712,0.3323228001712,0.3323228001712
SwedishLeaf,0.7346047794117647,0.5352617804971186,0.63671875,0.6102941176470589,0.6440716911764706,0.7346047794117647
Symbols,0.806004980603562,0.2965632856461064,0.5144209670523657,0.806004980603562,0.5643355745538517,0.5198517734250926
SyntheticControl,0.5513631966351209,0.3688,0.3808,0.4301333333333333,0.3960659793814433,0.5513631966351209
ToeSegmentation1,0.997836275866374,0.5,0.8613718411552347,0.997836275866374,0.5,0.5
ToeSegmentation2,0.9264419961114712,0.5,0.9264419961114712,0.9261179520414776,0.9044069993519118,0.8891769280622165
Trace,0.5982524954895178,0.750372222714225,0.5982524954895178,0.5928660782876258,0.5882736268715848,0.582224338228972
TwoLeadECG,0.5009939551300255,0.5009939551300255,0.5009939551300255,0.5009939551300255,0.5009939551300255,0.5009939551300255
UMD,1.0,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryAll,0.4007066261838909,0.5582246894271727,0.4007066261838909,0.2010583067234972,0.2010583067234972,0.2010583067234972
UWaveGestureLibraryX,0.2010682618732562,0.5491609446349379,0.2010682618732562,0.2010682618732562,0.2010682618732562,0.2010682618732562
UWaveGestureLibraryY,0.2010682618732562,0.2010682618732562,0.2010682618732562,0.2010682618732562,0.2010682618732562,0.2010682618732562
UWaveGestureLibraryZ,0.4165077283487516,0.6016321467081485,0.2010682618732562,0.2010682618732562,0.4165077283487516,0.2010682618732562
WordSynonyms,0.8404961865930607,0.8458244955678147,0.8404961865930607,0.7269237843279972,0.7269237843279972,0.7269237843279972
Yoga,0.5037533133573182,0.5037533133573182,0.5037533133573182,0.5037533133573182,0.5037533133573182,0.5037533133573182
