dataset,ESPRESSO,BOCD,Window,BinSeg,FLOSS,ClaSP,fluss1,fluss2,fluss3,fluss4,fluss5
FaceFour,0.532,0.49,0.377,0.597,0.795,0.7040000000000001,0.7950874928284567,0.7956829251633386,0.7946360833584571,0.7957672965756798,0.7958383514835466
FacesUCR,0.2239999999999999,0.183,0.482,0.725,0.653,0.929,0.6529558267514215,0.5035386986794572,0.30209780932693353,0.2747091967799681,0.3927001780371002
FiftyWords,0.262,0.525,0.527,0.951,0.5710000000000001,0.991,0.5713488287104183,0.5714130307779731,0.5632679084449553,0.5571148716010261,0.5687185994076057
Fish,0.2189999999999999,0.263,0.561,0.636,0.288,0.963,0.28819302486813,0.3636609196953218,0.3671776058434031,0.14328545722164332,0.24614440288699235
FreezerRegularTrain,0.2739999999999999,0.7070000000000001,0.5710000000000001,0.677,0.519,0.916,0.5190485101894354,0.5171461442295603,0.5158117804558414,0.5158899955426728,0.5134199116102702
GunPoint,0.482,0.478,0.8109999999999999,0.733,0.988,0.993,0.25052892163833657,0.25052892163833657,0.25052892163833657,0.25052892163833657,0.25052892163833657
Ham,0.251,0.261,0.615,0.5579999999999999,0.251,0.74,1.0,1.0,1.0,1.0,1.0
Haptics,0.424,0.542,0.598,0.726,0.38,0.924,0.9883321162947938,0.99362119205298,0.9957427728613569,0.9695134130146082,0.9622836795252225
Herring,1.0,1.0,1.0,1.0,1.0,1.0,0.379821353851632,0.3484209963387869,0.6694177694449385,0.42587051415301047,0.3607521802615299
InlineSkate,0.332,0.494,0.5870000000000001,0.564,0.579,0.6659999999999999,0.5794930697870935,0.5979881153730973,0.5336716324935525,0.6689975151906478,0.6723116662179159
InsectWingbeatSound,0.249,0.25,0.513,0.985,0.69,0.98,0.6899781354846006,0.7016010802469136,0.489658598265896,0.4835278019137007,0.5434082382649329
ItalyPowerDemand,0.482,0.5,0.7509999999999999,0.993,0.975,0.986,0.9754307281327353,0.9742179324778322,0.962168954740272,0.9609718398299762,0.9913316708074147
LargeKitchenAppliances,0.326,0.354,0.505,0.67,0.923,0.6409999999999999,0.9233148811462064,0.5466493002629909,0.43395132118222335,0.9648059192753646,0.5988258372248014
Lightning2,0.913,0.556,0.8220000000000001,0.44,0.688,0.993,0.6876394753319313,0.9949843082747907,0.9603873023654859,0.9850088954087206,0.9850088954087206
Lightning7,0.358,0.422,0.535,0.3879999999999999,0.765,0.732,0.7653454188379966,0.7752897078495323,0.7545012461669145,0.7619356193555633,0.7553163209134682
Mallat,0.471,0.6559999999999999,0.486,0.932,0.564,0.996,0.5636806219168883,0.5605315141602754,0.5731749438961653,0.5716061537191298,0.5722639158762943
Meat,0.3289999999999999,0.326,0.506,0.623,0.991,0.996,0.9905271201752931,0.9893500461755027,0.6488119090022473,0.6521723864191499,0.6362359513156494
MedicalImages,0.564,0.539,0.451,0.923,0.992,0.993,0.9919696761210204,0.9298099465634247,0.9738905259863875,0.5884930512835338,0.594241906909652
MelbournePedestrian,0.216,0.149,0.568,0.963,0.3989999999999999,0.987,0.399149359552295,0.3868250902301262,0.3974003781585286,0.30144210792089365,0.3757764538925094
MiddlePhalanxOutlineAgeGroup,0.289,0.3829999999999999,0.439,0.821,0.331,0.818,0.33105019444300776,0.4799317814799416,0.4828219621876125,0.247535877331816,0.4798565211087456
MiddlePhalanxOutlineCorrect,0.303,0.3339999999999999,0.7140000000000001,0.733,0.617,0.916,0.6167457944966074,0.6168632115991886,0.6165110906536133,0.6176736156945469,0.616445957211076
MiddlePhalanxTW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MoteStrain,0.4679999999999999,0.495,0.76,0.488,0.923,0.985,0.92318409723316,0.9121819338422391,0.9187699283884794,0.9198717948717949,0.9209747760490334
NonInvasiveFetalECGThorax1,0.2289999999999999,0.301,0.632,0.753,0.335,0.985,0.33501046833953796,0.335269267840065,0.335311237749647,0.3374525036884499,0.3352817170693392
NonInvasiveFetalECGThorax2,0.162,0.254,0.5820000000000001,0.7929999999999999,0.414,0.99,0.4143584706506537,0.4147126925411649,0.414731172669505,0.408486501327217,0.4081030397342249
OSULeaf,0.385,0.365,0.7609999999999999,0.687,0.7190000000000001,0.995,0.7292698060075473,0.7313033817889147,0.7311591447389914,0.7313033817889147,0.7313848670345227
OliveOil,0.493,0.5820000000000001,0.608,0.4629999999999999,0.7290000000000001,0.983,0.7185625122541011,0.7291418597390061,0.6458970064072547,0.7202374827503258,0.5397118098908855
Plane,0.292,0.146,0.491,0.96,0.872,0.992,0.8717820940538343,0.7213510998610035,0.447073821489909,0.5497915564221826,0.39013757563586715
ProximalPhalanxOutlineAgeGroup,0.335,0.376,0.528,0.882,0.68,0.884,0.6797065737919025,0.6793405134899912,0.6608024691358025,0.6616087883959044,0.6866810798946444
ProximalPhalanxOutlineCorrect,0.395,0.292,0.6579999999999999,0.942,0.5489999999999999,0.8420000000000001,0.5485783163238369,0.5484629013273266,0.5485890761863577,0.5478055200186701,0.5465265311474798
ProximalPhalanxTW,0.505,0.395,0.897,0.973,0.496,0.982,0.4961419350103584,0.8468419264588328,0.4972543486074901,0.5095022899123718,0.8420536929971704
ShapeletSim,1.0,1.0,1.0,1.0,1.0,1.0,0.7859809954223536,0.37898768642072206,0.5805131422904193,0.395110608323672,0.39548838609494025
ShapesAll,0.286,0.4429999999999999,0.63,0.639,0.7859999999999999,0.984,1.0,1.0,1.0,1.0,1.0
SonyAIBORobotSurface1,0.54,0.511,0.993,0.8320000000000001,0.973,0.99,0.9731152581152581,0.9703146853146852,0.9829608294930875,0.839203821656051,0.7145238095238096
SonyAIBORobotSurface2,0.623,0.501,0.638,1.0,0.985,0.979,0.9852766346593507,0.8371892887947934,0.498529364851501,0.8800122493359209,0.8080573460418423
Strawberry,0.402,0.275,0.342,0.416,0.471,0.695,0.4707435290020697,0.47253268381548735,0.4506051796246248,0.47419717623215285,0.7983076852162685
SwedishLeaf,0.252,0.252,0.816,0.99,0.501,0.997,0.5006679702135631,0.983202315452156,0.4951166581296717,0.5935708126029469,0.44879048084218365
Symbols,0.405,0.59,0.505,0.45,0.513,0.978,0.5127362451419616,0.5140130194673466,0.8301108259550043,0.7760885789091757,0.5703675331249299
SyntheticControl,0.318,0.2,0.557,0.742,0.58,0.99,0.5797104571165609,0.5827915153031072,0.39409925831744014,0.3922849363422275,0.5749646545742888
ToeSegmentation1,0.48,0.695,0.4679999999999999,0.947,0.994,1.0,0.9935227820105765,0.997116071869485,0.8846133652992858,0.6338710852546565,0.9963963846972964
ToeSegmentation2,0.469,0.664,0.544,0.894,0.99,0.997,0.9896838003323166,0.9890425328613922,0.9948286661376664,0.8801331357142778,0.9909675577150169
Trace,0.332,0.5539999999999999,0.636,0.647,0.644,0.8959999999999999,0.6437183404699109,0.6439094908114447,0.6439094908114447,0.6439094908114447,0.6439094908114447
TwoLeadECG,0.725,0.501,0.607,0.996,0.479,0.996,0.4792188204747597,0.9873449547435468,0.47761635709501044,0.7583291090883711,0.5343372042866186
UMD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryAll,0.213,0.372,0.395,0.978,0.586,0.992,0.5855202253536799,0.5754833730511919,0.39041574872140244,0.19944696612268006,0.19958767958016738
UWaveGestureLibraryX,0.324,0.201,0.356,0.643,0.3939999999999999,0.987,0.3942514610134796,0.39398208865794976,0.3920689571507182,0.3469767833710321,0.44363343134044125
UWaveGestureLibraryY,0.3,0.201,0.618,0.716,0.588,0.963,0.5879965193353933,0.6546208448720767,0.29807823135505646,0.4188706549260297,0.5569320338689172
UWaveGestureLibraryZ,0.414,0.201,0.511,0.883,0.602,0.873,0.6016321467081485,0.3768062013441535,0.5987793552140784,0.23205583155902534,0.3786809327132216
WordSynonyms,0.7,0.743,0.467,0.988,0.8190000000000001,0.995,0.8190996867328404,0.8258548599751824,0.8258173432424322,0.7742947636546637,0.8272663767345823
Yoga,0.5,0.64,0.835,0.541,0.991,0.995,0.9912774075931773,0.5021028514021671,0.5015827029223593,0.49402918027298737,0.5020195578338108
