dataset,flussOracle,fluss1,fluss2,fluss3,fluss4,fluss5,flussEnsMinALL
NonInvasiveFetalECGThorax2,0.414731172669505,0.4143584706506537,0.4147126925411649,0.414731172669505,0.408486501327217,0.4081030397342249,0.4131279411359761
OSULeaf,0.7313848670345227,0.7292698060075473,0.7313033817889147,0.7311591447389914,0.7313033817889147,0.7313848670345227,0.976546707606273
OliveOil,0.7291418597390061,0.7185625122541011,0.7291418597390061,0.6458970064072547,0.7202374827503258,0.5397118098908855,0.7185625122541011
Plane,0.7213510998610035,0.8717820940538343,0.7213510998610035,0.447073821489909,0.5497915564221826,0.3901375756358671,0.8188007820048625
ProximalPhalanxOutlineAgeGroup,0.6866810798946444,0.6797065737919025,0.6793405134899912,0.6608024691358025,0.6616087883959044,0.6866810798946444,0.6797065737919025
ProximalPhalanxOutlineCorrect,0.5485890761863577,0.5485783163238369,0.5484629013273266,0.5485890761863577,0.5478055200186701,0.5465265311474798,0.5485783163238369
ProximalPhalanxTW,0.8468419264588328,0.4961419350103584,0.8468419264588328,0.4972543486074901,0.5095022899123718,0.8420536929971704,0.49957629238465806
ShapeletSim,0.5805131422904193,0.7859809954223536,0.378987686420722,0.5805131422904193,0.395110608323672,0.3954883860949402,0.39052249203821654
ShapesAll,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SonyAIBORobotSurface1,0.9829608294930876,0.973115258115258,0.9703146853146852,0.9829608294930876,0.839203821656051,0.7145238095238096,0.4178731343283582
SonyAIBORobotSurface2,0.8800122493359209,0.9852766346593508,0.8371892887947934,0.498529364851501,0.8800122493359209,0.8080573460418423,0.9751884580509816
Strawberry,0.7983076852162685,0.4707435290020697,0.4725326838154873,0.4506051796246248,0.4741971762321528,0.7983076852162685,0.4693983129267376
SwedishLeaf,0.983202315452156,0.5006679702135631,0.983202315452156,0.4951166581296717,0.5935708126029469,0.4487904808421836,0.7440672194324918
Symbols,0.8301108259550043,0.5127362451419616,0.5140130194673466,0.8301108259550043,0.7760885789091757,0.5703675331249299,0.7953624161139358
SyntheticControl,0.5827915153031072,0.5797104571165609,0.5827915153031072,0.3940992583174401,0.3922849363422275,0.5749646545742888,0.77074580777022
ToeSegmentation1,0.997116071869485,0.9935227820105764,0.997116071869485,0.8846133652992858,0.6338710852546565,0.9963963846972964,0.9913729523553566
ToeSegmentation2,0.9948286661376664,0.9896838003323166,0.9890425328613922,0.9948286661376664,0.8801331357142778,0.9909675577150168,0.9852034359431503
Trace,0.6439094908114447,0.6437183404699109,0.6439094908114447,0.6439094908114447,0.6439094908114447,0.6439094908114447,0.5927565054305007
TwoLeadECG,0.9873449547435468,0.4792188204747597,0.9873449547435468,0.4776163570950104,0.7583291090883711,0.5343372042866186,0.46777426602343614
UMD,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UWaveGestureLibraryAll,0.5754833730511919,0.5855202253536799,0.5754833730511919,0.3904157487214024,0.19944696612268,0.1995876795801673,0.5855202253536799
UWaveGestureLibraryX,0.4436334313404412,0.3942514610134796,0.3939820886579497,0.3920689571507182,0.3469767833710321,0.4436334313404412,0.3942514610134796
UWaveGestureLibraryY,0.6546208448720767,0.5879965193353933,0.6546208448720767,0.2980782313550564,0.4188706549260297,0.5569320338689172,0.5879965193353933
UWaveGestureLibraryZ,0.5987793552140784,0.6016321467081485,0.3768062013441535,0.5987793552140784,0.2320558315590253,0.3786809327132216,0.6016321467081485
WordSynonyms,0.8272663767345823,0.8190996867328404,0.8258548599751824,0.8258173432424322,0.7742947636546637,0.8272663767345823,0.8190996867328404
Yoga,0.5021028514021671,0.9912774075931772,0.5021028514021671,0.5015827029223593,0.4940291802729873,0.5020195578338108,0.996126904759683
